position_ind,well_id,site_num,label,x_position,y_position,z_position
0,A1,0,A1-Site_0,-15375.800000000003,-13947.09,4660.599265720326
1,A1,1,A1-Site_1,-14875.800000000003,-13947.09,4661.630568842283
2,A1,2,A1-Site_2,-14875.800000000003,-13447.09,4657.693614782159
3,A1,3,A1-Site_3,-15375.800000000003,-13447.09,4656.662311660202
4,A2,0,A2-Site_0,-2875.800000000003,-13947.09,4686.3818437692535
5,A2,1,A2-Site_1,-2375.800000000003,-13947.09,4687.41314689121
6,A2,2,A2-Site_2,-2375.800000000003,-13447.09,4683.476192831086
7,A2,3,A2-Site_3,-2875.800000000003,-13447.09,4682.44488970913
8,A3,0,A3-Site_0,9624.199999999997,-13947.09,4712.16442181818
9,A3,1,A3-Site_1,10124.199999999997,-13947.09,4713.195724940138
10,A3,2,A3-Site_2,10124.199999999997,-13447.09,4709.258770880014
11,A3,3,A3-Site_3,9624.199999999997,-13447.09,4708.227467758057
12,B4,0,B4-Site_0,22124.199999999997,-2747.09,4649.759228920339
13,B4,1,B4-Site_1,22624.199999999997,-2747.09,4650.790532042297
14,B4,2,B4-Site_2,22624.199999999997,-2247.09,4646.853577982172
15,B4,3,B4-Site_3,22124.199999999997,-2247.09,4645.822274860215
16,B3,0,B3-Site_0,9624.199999999997,-2747.09,4623.976650871412
17,B3,1,B3-Site_1,10124.199999999997,-2747.09,4625.0079539933695
18,B3,2,B3-Site_2,10124.199999999997,-2247.09,4621.070999933245
19,B3,3,B3-Site_3,9624.199999999997,-2247.09,4620.039696811288
20,B2,0,B2-Site_0,-2875.800000000003,-2747.09,4598.1940728224845
21,B2,1,B2-Site_1,-2375.800000000003,-2747.09,4599.225375944441
22,B2,2,B2-Site_2,-2375.800000000003,-2247.09,4595.288421884317
23,B2,3,B2-Site_3,-2875.800000000003,-2247.09,4594.257118762361
24,B1,0,B1-Site_0,-15375.800000000003,-2747.09,4572.411494773557
25,B1,1,B1-Site_1,-14875.800000000003,-2747.09,4573.442797895515
26,B1,2,B1-Site_2,-14875.800000000003,-2247.09,4569.50584383539
27,B1,3,B1-Site_3,-15375.800000000003,-2247.09,4568.474540713433
